Time	Value
5.12500000	3.29919434
5.12500000	3.29919434
5.12500000	3.29919434
5.12Time	Value
5.16300011	3.29919434
5.16300011	3.29919434
5.16300011	3.29919434
5.16300011	3.29919434
5.16300011	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16400003	3.29919434
5.16Time	Value
5.20300007	3.29919434
5.20300007	3.29919434
5.20300007	3.29919434
5.20300007	3.29919434
5.20300007	3.29919434
5.20300007	3.29919434
5.20300007	3.29919434
5.20300007	3.29919434
5.20300007	3.29919434
5.20300007	3.29919434
5.20300007	3.29919434
5.20300007	3.29919434
5.20300007	3.29919434
5.20300007	3.29919434
5.20300007	3.29919434
5.20300007	3.29919434
5.20400000	3.29919434
5.20400000	3.29919434
5.20400000	3.29919434
5.20400000	3.29919434
5.20400000	3.29919434
5.20Time	Value
5.24200010	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24300003	3.29919434
5.24Time	Value
5.28200006	3.29919434
5.28200006	3.29919434
5.28200006	3.29919434
5.28200006	3.29919434
5.28200006	3.29919434
5.28200006	3.29919434
5.28200006	3.29919434
5.28200006	3.29919434
5.28200006	3.29919434
5.28200006	3.29919434
5.28200006	3.29919434
5.28200006	3.29919434
5.28200006	3.29919434
5.28299999	3.29919434
5.28299999	3.29919434
5.28299999	3.29919434
5.28299999	3.29919434
5.28299999	3.29919434
5.28299999	3.29919434
5.28299999	3.29919434
5.28299999	3.29919434
5.28Time	Value
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32200003	3.29919434
5.32Time	Value
5.36100006	3.29919434
5.36100006	3.29919434
5.36100006	3.29919434
5.36100006	3.29919434
5.36100006	3.29919434
5.36100006	3.29919434
5.36100006	3.29919434
5.36199999	3.29919434
5.36199999	3.29919434
5.36199999	3.29919434
5.36199999	3.29919434
5.36199999	3.29919434
5.36199999	3.29919434
5.36199999	3.29919434
5.36199999	3.29919434
5.36199999	3.29919434
5.36199999	3.29919434
5.36199999	3.29919434
5.36199999	3.29919434
5.36199999	3.29919434
5.36199999	3.29919434
5.36Time	Value
5.40100002	3.29919434
5.40100002	3.29919434
5.40100002	3.29919434
5.40100002	3.29919434
5.40100002	3.29919434
5.40100002	3.29919434
5.40100002	3.29919434
5.40100002	3.29919434
5.40100002	3.29919434
5.40100002	3.29919434
5.40100002	3.29919434
5.40100002	3.29919434
5.40100002	3.29919434
5.40100002	3.29919434
5.40100002	3.29919434
5.40100002	3.29919434
5.40199995	3.29919434
5.40199995	3.29919434
5.40199995	3.29919434
5.40199995	3.29919434
5.40199995	3.29919434
5.40Time	Value
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44099998	3.29919434
5.44Time	Value
5.48000002	3.29919434
5.48000002	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48099995	3.29919434
5.48Time	Value
5.51999998	3.29919434
5.51999998	3.29919434
5.51999998	3.29919434
5.51999998	3.29919434
5.51999998	3.29919434
5.51999998	3.29919434
5.51999998	3.29919434
5.51999998	3.29919434
5.51999998	3.29919434
5.51999998	3.29919434
5.51999998	3.29919434
5.51999998	3.29919434
5.51999998	3.29919434
5.52099991	3.29919434
5.52099991	3.29919434
5.52099991	3.29919434
5.52099991	3.29919434
5.52099991	3.29919434
5.52099991	3.29919434
5.52099991	3.29919434
5.52099991	3.29919434
5.52Time	Value
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.55999994	3.29919434
5.56099987	3.29919434
5.56099987	3.29919434
5.56Time	Value
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59999990	3.29919434
5.59Time	Value
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63999987	3.29919434
5.63Time	Value
5.67899990	3.29919434
5.67899990	3.29919434
5.67899990	3.29919434
5.67899990	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67999983	3.29919434
5.67Time	Value
5.71899986	3.29919434
5.71899986	3.29919434
5.71899986	3.29919434
5.71899986	3.29919434
5.71899986	3.29919434
5.71899986	3.29919434
5.71899986	3.29919434
5.71899986	3.29919434
5.71899986	3.29919434
5.71899986	3.29919434
5.71899986	3.29919434
5.71999979	3.29919434
5.71999979	3.29919434
5.71999979	3.29919434
5.71999979	3.29919434
5.71999979	3.29919434
5.71999979	3.29919434
5.71999979	3.29919434
5.71999979	3.29919434
5.71999979	3.29919434
5.71999979	3.29919434
5.71Time	Value
5.75899982	3.29919434
5.75899982	3.29919434
5.75899982	3.29919434
5.75899982	3.29919434
5.75899982	3.29919434
5.75899982	3.29919434
5.75899982	3.29919434
5.75899982	3.29919434
5.75899982	3.29919434
5.75899982	3.29919434
5.75899982	3.29919434
5.75899982	3.29919434
5.75899982	3.29919434
5.76000023	3.29919434
5.76000023	3.29919434
5.76000023	3.29919434
5.76000023	3.29919434
5.76000023	3.29919434
5.76000023	3.29919434
5.76000023	3.29919434
5.76000023	3.29919434
5.76Time	Value
5.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.29919434
59919434
5.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.29919434
5.79.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.29919434
5.79899979	3.2Time	Value
5.83799982	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83900023	3.29919434
5.83Time	Value
5.87799978	3.29919434
5.87799978	3.29919434
5.87799978	3.29919434
5.87799978	3.29919434
5.87799978	3.29919434
5.87799978	3.29919434
5.87799978	3.29919434
5.87799978	3.29919434
5.87799978	3.29919434
5.87799978	3.29919434
5.87799978	3.2
5.87900019	3.29919434
5.87900019	3.29919434
5.879919434
5.87799978	3.29919434
5.87799978	3.29919434
5.87799978	3.29919434
5.87799978	3.29919434
5.87799978	3.29919434
5.87900019	3.29919434
5.87900019	3.29919434
5.87900019	3.29919434Time	Value
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91800022	3.29919434
5.91Time	Value
5.95699978	3.29919434
5.95699978	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95800018	3.29919434
5.95Time	Value
5.99700022	3.29919434
5.99700022	3.29919434
5.99700022	3.29919434
5.99700022	3.29919434
5.99700022	3.29919434
5.99700022	3.29919434
5.99700022	3.29919434
5.99700022	3.29919434
5.99700022	3.29919434
5.99700022	3.29919434
5.99700022	3.29919434
5.99700022	3.29919434
5.99700022	3.29919434
5.99800014	3.29919434
5.99800014	3.29919434
5.99800014	3.29919434
5.99800014	3.29919434
5.99800014	3.29919434
5.99800014	3.29919434
5.99800014	3.29919434
5.99800014	3.29919434
5.99Time	Value
6.03599977	3.29919434
6.03599977	3.29919434
6.03599977	3.29919434
6.03599977	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03700018	3.29919434
6.03Time	Value
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07600021	3.29919434
6.07700014	3.29919434
6.07Time	Value
6.11499977	3.29919434
6.11499977	3.29919434
6.11499977	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11600018	3.29919434
6.11Time	Value
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15500021	3.29919434
6.15600014	3.29919434
6.15600014	3.29919434
6.15600014	3.29919434
6.15600014	3.29919434
6.15Time	Value
6.19399977	3.29919434
6.19399977	3.29919434
6.19399977	3.29919434
6.19399977	3.29919434
6.19399977	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19500017	3.29919434
6.19Time	Value
6.23400021	3.29919434
6.23400021	3.29919434
6.23400021	3.29919434
6.23400021	3.29919434
6.23400021	3.29919434
6.23400021	3.29919434
6.23400021	3.29919434
6.23400021	3.29919434
6.23400021	3.29919434
6.23400021	3.29919434
6.23400021	3.29919434
6.23400021	3.29919434
6.23400021	3.29919434
6.23400021	3.29919434
6.23400021	3.29919434
6.23500013	3.29919434
6.23500013	3.29919434
6.23500013	3.29919434
6.23500013	3.29919434
6.23500013	3.29919434
6.23500013	3.29919434
6.23Time	Value
6.27299976	3.29919434
6.27400017	3.29919434
6.2740.27400017	3.29919434
6.27400017	3.29919434
6.27400017	3.29919434
6.27400017	3.29919434
6.27400017	3.29919434
6.27400017	3.29919434
6.27400017	3.29919434
6.27400017	3.29919434
6.27400017	3.29919434
6.27400017	3.29919434
6.27400017	3.29919434
6.270017	3.29919434
6.27400017	3.29919434
6.27400017	3.29919434
6400017	3.29919434
6.27400017	3.29919434
6.27400017	3.29919434
6.27400017	3.29919434
6.27400017	3.29919434
6.27Time	Value
6.31300020	3.29919434
6.31300020	3.29919434
6.31300020	3.29919434
6.31300020	3.29919434
6.31300020	3.29919434
6.31300020	3.29919434
6.31300020	3.29919434
6.31300020	3.29919434
6.31300020	3.29919434
6.31300020	3.29919434
6.31300020	3.29919434
6.31300020	3.29919434
6.31300020	3.29919434
6.31300020	3.29919434
6.31300020	3.29919434
6.31300020	3.29919434
6.31400013	3.29919434
6.31400013	3.29919434
6.31400013	3.29919434
6.31400013	3.29919434
6.31400013	3.29919434
6.31Time	Value
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35300016	3.29919434
6.35Time	Value
6.39200020	3.29919434
6.39200020	3.29919434
6.39200020	3.29919434
6.39200020	3.29919434
6.39200020	3.29919434
6.39200020	3.29919434
6.39200020	3.29919434
6.39200020	3.29919434
6.39200020	3.29919434
6.39200020	3.29919434
6.39300013	3.29919434
6.39300013	3.29919434
6.39300013	3.29919434
6.39300013	3.29919434
6.39300013	3.29919434
6.39300013	3.29919434
6.39300013	3.29919434
6.39300013	3.29919434
6.39300013	3.29919434
6.39300013	3.29919434
6.39300013	3.29919434
6.39Time	Value
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43200016	3.29919434
6.43Time	Value
6.47100019	3.29919434
6.47100019	3.29919434
6.47100019	3.29919434
6.47100019	3.29919434
6.47100019	3.29919434
6.47100019	3.29919434
6.47200012	3.29919434
6.47200012	3.29919434
6.47200012	3.29919434
6.47200012	3.29919434
6.47200012	3.29919434
6.47200012	3.29919434
6.47200012	3.29919434
6.47200012	3.29919434
6.47200012	3.29919434
6.47200012	3.29919434
6.47200012	3.29919434
6.47200012	3.29919434
6.47200012	3.29919434
6.47200012	3.29919434
6.47200012	3.29919434
6.47Time	Value
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51100016	3.29919434
6.51200008	3.29919434
6.51200008	3.29919434
6.51200008	3.29919434
6.51200008	3.29919434
6.51Time	Value
6.55000019	3.29919434
6.55000019	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55100012	3.29919434
6.55Time	Value
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59000015	3.29919434
6.59100008	3.29919434
6.59100008	3.29919434
6.59100008	3.29919434
6.59100008	3.29919434
6.59Time	Value
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63000011	3.29919434
6.63Time	Value
6.66900015	3.29919434
6.66900015	3.29919434
6.66900015	3.29919434
6.66900015	3.29919434
6.66900015	3.29919434
6.66900015	3.29919434
6.66900015	3.29919434
6.66900015	3.29919434
6.66900015	3.29919434
6.66900015	3.29919434
6.66900015	3.29919434
6.66900015	3.29919434
6.66900015	3.29919434
6.67000008	3.29919434
6.67000008	3.29919434
6.67000008	3.29919434
6.67000008	3.29919434
6.67000008	3.29919434
6.67000008	3.29919434
6.67000008	3.29919434
6.67000008	3.29919434
6.67Time	Value
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70900011	3.29919434
6.70Time	Value
6.74800014	3.29919434
6.74800014	3.29919434
6.74800014	3.29919434
6.74800014	3.29919434
6.74800014	3.29919434
6.74800014	3.29919434
6.74800014	3.29919434
6.74800014	3.29919434
6.74800014	3.29919434
6.74800014	3.29919434
6.74800014	3.29919434
6.74800014	3.29919434
6.74800014	3.29919434
6.74800014	3.29919434
6.74900007	3.29919434
6.74900007	3.29919434
6.74900007	3.29919434
6.74900007	3.29919434
6.74900007	3.29919434
6.74900007	3.29919434
6.74900007	3.29919434
6.74Time	Value
6.78700018	3.29919434
6.78700018	3.29919434
6.78700018	3.29919434
6.78700018	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78800011	3.29919434
6.78Time	Value
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82700014	3.29919434
6.82Time	Value
6.86600018	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86700010	3.29919434
6.86Time	Value
6.90600014	3.29919434
6.90600014	3.29919434
6.90600014	3.29919434
6.90600014	3.29919434
6.90600014	3.29919434
6.90600014	3.29919434
6.90600014	3.29919434
6.90600014	3.29919434
6.90600014	3.29919434
6.90600014	3.29919434
6.90600014	3.29919434
6.90600014	3.29919434
6.90600014	3.29919434
6.90600014	3.29919434
6.90700006	3.29919434
6.90700006	3.29919434
6.90700006	3.29919434
6.90700006	3.29919434
6.90700006	3.29919434
6.90700006	3.29919434
6.90700006	3.29919434
6.90Time	Value
6.94500017	3.29919434
6.94500017	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94600010	3.29919434
6.94Time	Value
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98500013	3.29919434
6.98600006	3.29919434
6.98600006	3.29919434
6.98Time	Value
7.02500010	3.29919434
7.02500010	3.29919434
7.02500010	3.29919434
7.02500010	3.29919434
7.02500010	3.29919434
7.02500010	3.29919434
7.02500010	3.29919434
7.02500010	3.29919434
7.02500010	3.29919434
7.02500010	3.29919434
7.02500010	3.29919434
7.02500010	3.29919434
7.02500010	3.29919434
